tweet_id,favorites,retweets,followers_count
892420643555336193,38283,8395,7413792
892177421306343426,32815,6195,7413792
891815181378084864,24707,4100,7413792
891689557279858688,41606,8528,7413792
891327558926688256,39790,9242,7413792
891087950875897856,19972,3074,7413792
890971913173991426,11691,2040,7413792
890729181411237888,64625,18632,7413792
890609185150312448,27456,4214,7413792
890240255349198849,31507,7288,7413792
890006608113172480,30268,7236,7413792
889880896479866881,27429,4914,7413792
889665388333682689,47516,9927,7413792
889638837579907072,26822,4486,7413792
889531135344209921,14909,2212,7413792
889278841981685760,24930,5314,7413792
888917238123831296,28714,4441,7413792
888804989199671297,25240,4242,7413792
888554962724278272,19591,3507,7413792
888078434458587136,21478,3450,7413792
887705289381826560,29783,5320,7413792
887517139158093824,45681,11514,7413792
887473957103951883,68217,17946,7413792
887343217045368832,33254,10272,7413792
887101392804085760,30172,5887,7413792
886983233522544640,34706,7678,7413792
886736880519319552,11895,3244,7413792
886680336477933568,22151,4405,7413792
886366144734445568,20916,3161,7413792
886267009285017600,116,4,7413792
886258384151887873,27639,6204,7413792
886054160059072513,0,105,7413792
885984800019947520,32274,6718,7413792
885528943205470208,35541,6347,7413792
885518971528720385,20175,3709,7413792
885311592912609280,0,18360,7413792
885167619883638784,21658,4328,7413792
884925521741709313,76529,18092,7413792
884876753390489601,27576,5595,7413792
884562892145688576,24013,4696,7413792
884441805382717440,26660,5585,7413792
884247878851493888,72135,20210,7413792
884162670584377345,20113,2950,7413792
883838122936631299,21638,3408,7413792
883482846933004288,45359,9828,7413792
883360690899218434,22292,3634,7413792
883117836046086144,36741,6597,7413792
882992080364220416,23677,3870,7413792
882762694511734784,27965,4862,7413792
882627270321602560,27575,6019,7413792
882268110199369728,44407,11462,7413792
882045870035918850,28999,4914,7413792
881906580714921986,24022,3356,7413792
881666595344535552,49958,10544,7413792
881633300179243008,125,7,7413792
881536004380872706,48842,15777,7413792
881268444196462592,22813,5111,7413792
880935762899988482,16810,2754,7413792
880872448815771648,21024,3777,7413792
880465832366813184,28195,6209,7413792
880221127280381952,26738,4171,7413792
880095782870896641,27318,4311,7413792
879862464715927552,22064,3462,7413792
879674319642796034,310,10,7413792
879492040517615616,23140,3153,7413792
879415818425184262,104656,43749,7413792
879376492567855104,16586,3092,7413792
879130579576475649,0,6762,7413792
879050749262655488,22313,4675,7413792
879008229531029506,18767,2669,7413792
878776093423087618,19190,4088,7413792
878604707211726852,29929,7129,7413792
878404777348136964,0,1280,7413792
878316110768087041,0,6593,7413792
878281511006478336,7657,1280,7414391
878057613040115712,41564,6762,7413792
877736472329191424,78916,18910,7413792
877611172832227328,0,80,7413792
877556246731214848,22463,3775,7413792
877316821321428993,27060,5130,7413792
877201837425926144,26809,5536,7413792
876838120628539392,20440,3315,7413792
876537666061221889,23230,4586,7413792
876484053909872640,18548,2378,7413792
876120275196170240,27610,4657,7413793
875747767867523072,24921,4263,7413793
875144289856114688,21693,4894,7413793
875097192612077568,27121,6005,7413793
875021211251597312,25204,4685,7413793
874680097055178752,27548,4613,7413793
874434818259525634,0,14656,7413794
874296783580663808,25800,4087,7413794
874057562936811520,22430,3936,7413794
874012996292530176,34276,10376,7413794
873580283840344065,23997,3931,7413794
873337748698140672,0,1582,7413794
873213775632977920,7168,1582,7413794
872967104147763200,27135,5387,7413794
872820683541237760,14586,3685,7413794
872620804844003328,20613,3690,7413794
872486979161796608,40357,8992,7413794
872261713294495745,33944,6307,7413794
872122724285648897,34201,8112,7413794
871879754684805121,37760,11177,7413794
871762521631449091,20143,3475,7413794
871515927908634625,20087,3453,7413794
871166179821445120,0,5706,7413794
871102520638267392,20806,5508,7413794
871032628920680449,22532,3821,7413794
870804317367881728,33453,6222,7413794
870726314365509632,119,3,7413794
870656317836468226,12355,2656,7413794
870374049280663552,82370,26304,7413794
870308999962521604,21734,4168,7413794
870063196459192321,36556,8389,7413794
869772420881756160,42294,10081,7413794
869702957897576449,28172,6375,7413794
869596645499047938,15940,3146,7413794
869227993411051520,20396,3808,7413794
868880397819494401,65600,14603,7413794
868639477480148993,0,2113,7413794
868622495443632128,26867,5481,7413794
868552278524837888,10137,2113,7413794
867900495410671616,24190,4214,7413794
867774946302451713,34025,7409,7413794
867421006826221569,16135,2536,7413794
867072653475098625,0,123,7413794
867051520902168576,32309,7952,7413794
866720684873056260,20147,4867,7413794
866686824827068416,19390,3529,7413794
866450705531457537,122686,35723,7413794
866334964761202691,52787,14656,7413794
866094527597207552,0,8493,7413794
865718153858494464,25743,5694,7413794
865359393868664832,26611,5073,7413794
865006731092295680,28161,7804,7413794
864873206498414592,32476,8860,7413794
864279568663928832,14717,3090,7413794
864197398364647424,30371,9100,7413794
863907417377173506,20780,4216,7413794
863553081350529029,15416,4248,7413794
863471782782697472,0,2506,7413794
863432100342583297,24004,5364,7413794
863427515083354112,2282,99,7413794
863079547188785154,8836,1119,7414393
863062471531167744,8606,2506,7413794
862831371563274240,19346,5185,7413794
862722525377298433,17221,3597,7413794
862457590147678208,20751,5056,7413794
862096992088072192,75331,23804,7413794
861383897657036800,36450,10930,7413794
861288531465048066,17374,4249,7413794
861005113778896900,16903,3891,7413794
860981674716409858,0,2213,7413794
860924035999428608,0,843,7413794
860563773140209665,7594,2213,7413794
860524505164394496,23915,5400,7413794
860276583193509888,18523,3562,7413794
860184849394610176,16898,5978,7413794
860177593139703809,0,31655,7413794
859924526012018688,19803,4202,7413794
859851578198683649,15595,3602,7413794
859607811541651456,18836,1614,7413794
859196978902773760,91264,31063,7413794
859074603037188101,34383,13983,7413794
858860390427611136,0,8379,7413794
858843525470990336,15757,3576,7413794
858471635011153920,21829,4994,7413794
858107933456039936,15971,3005,7413794
857989990357356544,16377,2663,7413794
857746408056729600,34853,10978,7413794
857393404942143489,6014,1694,7413794
857263160327368704,20365,4669,7413794
857214891891077121,233,18,7413794
857062103051644929,0,177,7413794
857029823797047296,19287,4142,7413794
856602993587888130,0,11070,7413794
856543823941562368,16577,2983,7413794
856526610513747968,12065,1943,7413794
856330835276025856,0,702,7413794
856288084350160898,526,17,7413794
856282028240666624,28290,6552,7413794
855862651834028034,353,28,7413794
855860136149123072,5151,1069,7413794
855857698524602368,12096,2194,7413794
855851453814013952,46373,18384,7413794
855818117272018944,27171,5641,7413794
855459453768019968,30609,8549,7413794
855245323840757760,0,6227,7413794
855138241867124737,0,48,7413794
854732716440526848,23411,6371,7413794
854482394044301312,30075,7177,7413794
854365224396361728,19378,4894,7413794
854120357044912130,32817,7823,7413794
854010172552949760,16629,3303,7413794
853760880890318849,29393,6075,7413793
853639147608842240,35869,10624,7413793
853299958564483072,15972,3744,7413793
852936405516943360,0,2113,7413793
852912242202992640,9329,1933,7413793
852672615818899456,15374,2266,7413793
852553447878664193,16889,3699,7413793
852311364735569921,34181,10409,7413794
852226086759018497,20651,7160,7413794
852189679701164033,11832,1668,7413794
851953902622658560,0,10163,7413794
851861385021730816,0,23,7413794
851591660324737024,16737,3659,7413794
851464819735769094,25110,7466,7413794
851224888060895234,21399,6041,7413794
850753642995093505,32134,9813,7413794
850380195714523136,13526,2769,7413793
850333567704068097,3554,354,7413793
850145622816686080,16928,4051,7413793
850019790995546112,21214,5187,7413793
849776966551130114,31620,8047,7414392
849668094696017920,0,5254,7413793
849412302885593088,16479,3332,7413793
849336543269576704,11861,1999,7413793
849051919805034497,44145,9048,7413793
848690551926992896,26200,4582,7413793
848324959059550208,25742,4888,7413793
848213670039564288,8495,793,7413793
848212111729840128,16980,3269,7414392
847978865427394560,0,3461,7413793
847971574464610304,0,458,7413793
847962785489326080,24466,5426,7413793
847842811428974592,5706,1429,7413793
847617282490613760,7296,451,7413793
847606175596138505,19557,3613,7413793
847251039262605312,21306,4570,7413793
847157206088847362,20823,6235,7413793
847116187444137987,22331,3399,7413793
846874817362120707,20960,4183,7413793
846514051647705089,46614,12386,7413793
846505985330044928,14748,3297,7413793
846153765933735936,33120,9675,7413793
846139713627017216,32235,10527,7413793
846042936437604353,16698,3089,7413793
845812042753855489,30639,9338,7413793
845677943972139009,26243,5107,7413793
845397057150107648,7980,1937,7413793
845306882940190720,24390,5765,7413793
845098359547420673,0,8196,7413793
844979544864018432,14258,2763,7413793
844973813909606400,15818,3440,7413793
844704788403113984,40536,11070,7413793
844580511645339650,17244,3368,7413793
844223788422217728,14274,2350,7413793
843981021012017153,15832,3130,7413793
843856843873095681,22424,4957,7413793
843604394117681152,17693,2949,7413793
843235543001513987,22512,6490,7413793
842846295480000512,15942,3854,7414392
842765311967449089,7074,1365,7413792
842535590457499648,18975,3758,7413792
842163532590374912,25687,6227,7413792
842115215311396866,14697,3252,7413792
841833993020538882,0,16485,7413792
841680585030541313,26903,8319,7413792
841439858740625411,13261,3938,7413792
841320156043304961,20738,5831,7413792
841314665196081154,16630,5040,7413792
841077006473256960,24047,5706,7413792
840761248237133825,0,1889,7413792
840728873075638272,0,17431,7413792
840698636975636481,190,2,7414391
840696689258311684,12921,1056,7413792
840632337062862849,9426,1889,7413792
840370681858686976,17303,4897,7413792
840268004936019968,20276,6172,7413792
839990271299457024,14130,2472,7413792
839549326359670784,28967,8379,7413792
839290600511926273,0,154,7413792
839239871831150596,28631,7048,7413792
838952994649550848,20660,4282,7413792
838921590096166913,11762,2236,7413792
838916489579200512,0,36,7413792
838831947270979586,0,11938,7413792
838561493054533637,11494,1430,7413792
838476387338051585,23821,5199,7413792
838201503651401729,0,10905,7413792
838150277551247360,1768,354,7413792
838085839343206401,149,0,7413792
838083903487373313,18577,3403,7413792
837820167694528512,36045,8493,7413792
837482249356513284,4042,479,7413792
837471256429613056,13493,2479,7413792
837366284874571778,22294,5725,7413792
837110210464448512,16905,2594,7413792
836989968035819520,13429,2480,7413794
836753516572119041,20288,4993,7413794
836677758902222849,13298,2401,7413794
836648853927522308,0,593,7413794
836397794269200385,0,29879,7413794
836380477523124226,15538,3198,7413794
836260088725786625,22438,4639,7413794
836001077879255040,20175,4644,7413794
835685285446955009,0,8842,7413794
835574547218894849,18794,3922,7413794
835536468978302976,0,1844,7413794
835309094223372289,0,22763,7413794
835297930240217089,17341,3236,7413794
835264098648616962,8192,1844,7413794
835246439529840640,2204,78,7413794
835172783151792128,27620,6224,7413794
835152434251116546,23730,3270,7413794
834931633769889797,11452,1790,7413794
834786237630337024,22346,5928,7413794
834574053763584002,14481,2747,7413794
834477809192075265,0,11574,7413794
834458053273591808,10159,1817,7413794
834209720923721728,21791,5193,7413794
834167344700198914,16661,3940,7413794
834089966724603904,10619,2303,7413794
834086379323871233,13821,2407,7413794
833863086058651648,14188,2608,7413794
833826103416520705,16228,3733,7413794
833732339549220864,0,235,7413794
833722901757046785,21880,3485,7413794
833479644947025920,15715,2244,7413794
833124694597443584,21371,5254,7413794
832998151111966721,14077,2408,7413794
832769181346996225,0,40,7413794
832757312314028032,17803,3941,7413794
832682457690300417,12574,3187,7413793
832645525019123713,3087,564,7413793
832636094638288896,16785,3038,7413793
832397543355072512,12656,2417,7413793
832369877331693569,18157,3461,7413793
832273440279240704,11976,2533,7413793
832215909146226688,0,6728,7413793
832215726631055365,0,10196,7413793
832088576586297345,70,2,7413793
832040443403784192,0,10575,7413793
832032802820481025,18889,5060,7413793
831939777352105988,25430,6672,7413793
831926988323639298,362,35,7413793
831911600680497154,29331,7097,7413793
831670449226514432,11065,1974,7413793
831650051525054464,7605,2113,7413792
831552930092285952,9543,2497,7413792
831322785565769729,9733,1663,7413792
831315979191906304,6909,1214,7413792
831309418084069378,12425,2658,7413792
831262627380748289,12620,2233,7413792
830956169170665475,8455,1629,7413792
830583320585068544,70999,18360,7413792
830173239259324417,0,6220,7413792
830097400375152640,10428,3280,7413792
829878982036299777,0,5471,7413792
829861396166877184,12978,2135,7413792
829501995190984704,33701,11574,7413792
829449946868879360,11104,2208,7413792
829374341691346946,36753,10163,7413792
829141528400556032,26026,8086,7413792
829011960981237760,56304,17675,7413792
828801551087042563,0,3712,7413792
828770345708580865,27153,6420,7413792
828708714936930305,38906,12259,7413792
828650029636317184,10094,1471,7413792
828409743546925057,6682,1254,7413792
828408677031882754,8121,1403,7413792
828381636999917570,13418,2424,7413792
828376505180889089,7849,1161,7413792
828372645993398273,13316,3205,7413792
828361771580813312,2332,184,7413792
828046555563323392,12512,3126,7413792
828011680017821696,11019,2343,7413792
827933404142436356,21424,5704,7413792
827653905312006145,16414,3285,7413792
827600520311402496,7874,1035,7413792
827324948884643840,16893,3346,7413792
827199976799354881,11251,2452,7414391
826958653328592898,22955,5471,7413792
826848821049180160,38820,11179,7413792
826615380357632002,0,4315,7413792
826598799820865537,5445,279,7413792
